string,uz_UZ,ru_RU,en_EN,uz_UZK
ad_creation_image_min_count_error,2 yoki undan ortiq rasm qo‘shish talab qilinadi,Требуется добавить 2 и более фото,2 or more images required,2 ёки ундан ортиқ расм қўшиш талаб қилинади
ad_creation_name_label,Mahsulot nomi,Название товара,Product Name,Маҳсулот номи
ad_creation_negotiable_label,Kelishish mumkin,Договорная,Negotiable,Келишиш мумкин
ad_creation_paid_delivery_label,Pullik yetkazib berish,Платная доставка,Paid Delivery,Пуллик етказиб бериш
ad_creation_paid_delivery_price_label,Bir kilometr narxi,Цена за км,Price per Kilometer,Бир километр нархи
ad_creation_payment_type_label,To‘lov usuli,Способ оплаты,Payment Method,Тўлов усули
ad_creation_personal_label,Shaxsiy,Личное,Personal,Шахсий
ad_creation_personal_or_business_label,Biznes yoki shaxsiy,Бизнес или личное,Business or Personal,Бизнес ёки шахсий
ad_creation_pickup_label,Olib ketish manzillari,Самовывоз с адреса,Pickup Addresses,Олиб кетиш манзиллари
ad_creation_price_label,Narxi,Цена,Price,Нархи
ad_creation_product_title,Mahsulot,Продукт,Product,Маҳсулот
ad_creation_receive_types_label,Qabul qilish turlari,Способы приема,Acceptance Types,Қабул қилиш турлари
ad_creation_required_address_label,Qayerdan kerak,Откуда вам нужен,Where From,Қаердан керак
ad_creation_required_fields_label,Yulduzcha bilan belgilangan barcha maydonlar to‘ldirilishi kerak.,Необходимо заполнить все поля отмеченный звездочкой,All fields marked with an asterisk must be filled,Юлдузча билан белгиланган барча майдонлар тўлдирилиши керак.
ad_creation_result_add_another_ad,Yangi e’lon qo‘shish,Добавить новое объявление,Add New Ad,Янги эълон қўшиш
ad_creation_result_desc,E’lon o‘zgarishlari ko‘rib chiqish uchun yuborildi,Изменения объявления отправлены на проверку,Ad changes sent for review,Эълон ўзгаришлари кўриб чиқиш учун юборилди
ad_creation_result_edit_current_ad,E’lonni tahrirlash,Редактирование объявления,Edit Ad,Эълонни таҳрирлаш
ad_creation_result_message,O‘zgarishlar saqlandi,Изменения сохранены,Changes Saved,Ўзгаришлар сақланди
ad_creation_result_open_dashboard,Asosiy oynaga o‘tish,Перейти на главную,Go to Main Screen,Асосий ойнага ўтиш
ad_creation_service_addresses,Xizmat ko‘rsatish manzillari,Адреса услуг,Service Addresses,Хизмат кўрсатиш манзиллари
ad_creation_service_title,Xizmat,Услуга,Service,Хизмат
ad_creation_show_my_social_accounts_label,Mening ijtimoiy tarmoqlarim mahsulot tavsifi ko‘rsatilsin,Показать мои соц. сети на описание товара,Show my social networks in product description,Менинг ижтимоий тармоқларим маҳсулот тавсифи кўрсатилсин
ad_creation_start_buy_desc,Siz qulay va tez mahsulot yoki xizmatni sotib olish uchun so‘rovlarni yaratishingiz mumkin!,Вы можете легко и быстро создавать заявки на покупку товара или услуги!,You can create requests to purchase products or services conveniently and quickly!,Сиз қулай ва тез маҳсулот ёки хизматни сотиб олиш учун сўровларни яратишингиз мумкин!
ad_creation_start_buy_product,Mahsulot sotib oling,Купить товар,Buy Product,Маҳсулот сотиб олинг
ad_creation_start_buy_service,Xizmat sotib oling,Купить услугу,Sign in with FaceId,Хизмат сотиб олинг
ad_creation_start_buy_title,Sotib olmoqchimisiz ?,Хотите купить ?,Want to Buy?,Сотиб олмоқчимисиз ?
ad_creation_start_sale_desc,Siz bizning platformamizda mahsulotlar va xizmatlarni qulay va tez sotishingiz mumkin!,На нашей платформе вы можете быстро и надёжно продавать свои товары и услуги!,You can sell goods and services on our platform conveniently and quickly!,Сиз бизнинг платформамизда маҳсулотлар ва хизматларни қулай ва тез сотишингиз мумкин!
ad_creation_start_sale_product,Mahsulot soting,Продавайте товар,Sell Product,Маҳсулот сотинг
ad_creation_start_sale_service,Xizmat soting,Продавайте услугу,Sell Service,Хизмат сотинг
ad_creation_start_sale_title,Sotmoqchimisiz ?,Хочу продать ?,Want to Sell?,Сотмоқчимисиз ?
ad_creation_state_label,Holati,Состояние,Status,Ҳолати
ad_creation_state_new_label,Yangi,Новый,New,Янги
ad_creation_state_used_label,Ishlatilgan,Б / У,Used,Ишлатилган
ad_creation_title,E‘lon yaratish,Создать объявление,Create Ad,Эълон яратиш
ad_creation_to_price_label,gacha,до,to,гача
ad_creation_transaction_type_label,E’lon turi,Тип объявления,Ad Type,Эълон тури
ad_creation_useful_link_label,Foydali havolalar,Полезные ссылки,Useful Links,Фойдали ҳаволалар
ad_creation_video_ulr_label,Video,Видео,Video,Видео
ad_creation_warehouse_count_label,Ombordagi miqdor,Кол-во на складе,Stock Quantity,Омбордаги миқдор
ad_creation_warehouse_unit_label,O‘lchov turi,Ед. измерения,Measurement Type,Ўлчов тури
ad_delete_message,E’lonni o‘chirishni hohlaysizmi?,Вы хотите удалить объявление?,Do you want to delete the ad?,Эълонни ўчиришни ҳоҳлайсизми?
ad_detail_add_to_cart,Savatga qo‘shish,В корзину,Add to Cart,Саватга қўшиш
ad_detail_author,Muallif,Автор,Author,Муаллиф
ad_detail_author_ads,Muallifning boshqa e‘lonlari,Другие объявления автора,Author's Other Ads,Муаллифнинг бошқа эълонлари
ad_detail_characteristics,Xususiyatlari,Характеристики,Features,Хусусиятлари
ad_detail_cheap_price,Arzon narx,Дешевая цена,Cheap Price,Арзон нарх
ad_detail_chip_item_condition,Holati:,Состояние:,Status:,Ҳолати:
ad_detail_chip_published_date,Chop etilgan:,Опубликовано:,Published:,Чоп этилган:
ad_detail_chip_viewed_count,Ko‘rildi:,Просмотров:,Views:,Кўрилди:
ad_detail_complain,Shikoyat qiling,Пожаловаться,Report,Шикоят қилинг
ad_detail_description,Tavsif,Описание,Description,Тавсиф
ad_detail_expensive_price,Qimmat narx,Дорогая цена,Expensive Price,Қиммат нарх
ad_detail_feedback,Sharhlar,Отзывы,Comments,Шарҳлар
ad_detail_location,Manzil,Местоположение,Address,Манзил
ad_detail_on_online_bozor,OnlineBozorda,на OnlineBozor с,On OnlineBozor,ОнлайнБозорда
ad_detail_open_cart,Savatni ko‘rish,Посмотреть корзину,View Cart,Саватни кўриш
ad_detail_sale_count_end,dona bor,штука,items available,дона бор
ad_detail_sale_count_start,Sotuvda,В продаже,For Sale,Сотувда
ad_detail_show_more,Ko‘proq ko‘rsatish,Показать больше,Show More,Кўпроқ кўрсатиш
ad_detail_show_phone,Qo‘ng‘iroq,Позвонить,Call,Қўнғироқ
ad_detail_towritemessge,Sms,Sms,SMS,Смс
ad_edit_title,E’lon tahrirlash,Редактировать объявление,Edit Ad,Эълон таҳрирлаш
ad_empty_message_active,Sizda hozircha faol e‘lon yo‘q!,У вас пока нет активных объявлений!,You don't have any active ads yet!,Сизда ҳозирча фаол эълон йўқ!
ad_empty_message_all,Siz hali birorta ham e’lon qo‘shmadingiz!,Вы еще не добавили объявлений!,You haven't added any ads yet!,Сиз ҳали бирорта ҳам эълон қўшмадингиз!
ad_empty_message_cancelled,Sizda hozircha bekor qilingan e‘lon yo‘q!,У вас нет отмененных объявлений!,You don't have any canceled ads yet!,Сизда ҳозирча бекор қилинган эълон йўқ!
ad_empty_message_inactive,Sizda hozircha nofaol e‘lon yo‘q!,У вас пока нет неактивных объявлений!,You don't have any inactive ads yet!,Сизда ҳозирча нофаол эълон йўқ!
ad_empty_message_wait,Sizda hozircha ko‘rib chiqilayotgan e’lon yo‘q!,У вас нет ожидающих объявлений!,You don't have any ads under review yet!,Сизда ҳозирча кўриб чиқилаётган эълон йўқ!
ad_installment_hint_status,Bo‘lib to‘lash hozirgi paytda ishlamayapti,Оплата в рассрочку на данный момент не доступна,Installment payment is currently not working,Бўлиб тўлаш ҳозирги пайтда ишламаяпти
ad_list_interesting_products,Qiziqarli mahsulotlar,Интересные продукты,Interesting Products,Қизиқарли маҳсулотлар
ad_list_interesting_services,Qiziqarli xizmatlar,Интересные услуги,Interesting Services,Қизиқарли хизматлар
ad_list_low_price_products,Hamyonbop mahsulotlar,Доступные продукты,Affordable Products,Ҳамёнбоп маҳсулотлар
ad_list_low_price_services,Hamyonbop xizmatlar,Доступные услуги,Affordable Services,Ҳамёнбоп хизматлар
ad_list_popular_products,Ommabop mahsulotlar,Популярные продукты,Popular Products,Оммабоп маҳсулотлар
ad_list_popular_services,Ommabop xizmatlar,Популярные услуги,Popular Services,Оммабоп хизматлар
ad_property_biznes,Biznes,Бизнес,Business,Бизнес
ad_property_personal,Shaxsiy,Частное,Personal,Шахсий
ad_status_new,Yangi,Новый,New,Янги
ad_status_old,I/B,Б/У,Used,И/Б
ad_status_title,Holati:,Cтатус:,Status:,Ҳолати:
ad_transaction_type_buy,Mahsulot,Продукт,Product,Маҳсулот
ad_transaction_type_buy_service,Xizmat,Услуга,Service,Хизмат
ad_transaction_type_exchange,Ayirboshlash,Обмен,Exchange,Айирбошлаш
ad_transaction_type_free,Bepul,Бесплатно,Free,Бепул
ad_transaction_type_sell,Mahsulot,Продукт,Product,Маҳсулот
ad_transaction_type_service,Xizmat,Услуга,Service,Хизмат
ad_type_product_title,Mahsulot,Продукт,Product,Маҳсулот
ad_type_service_title,Xizmat,Услуга,Service,Хизмат
add_image_actions_title,Rasm qo‘shish,Добавить изображение,Add Image,Расм қўшиш
address_add_title,Manzil qo‘shish,Добавить адрес,Add Address,Манзил қўшиш
address_empty_title,"Siz hali manzil qo‘shmagansiz, qo‘shmoqchimisiz?","Вы ещё не добавили адрес, хотите добавить?","You haven't added an address yet, would you like to add one?","Сиз ҳали манзил қўшмагансиз, қўшмоқчимисиз?"
all_title,Barchasi,Все,All,Барчаси
auth_common_password,Parol,пароль,Password,Парол
auth_common_you_agree_in,Tizimga kirish orqali siz rozilik bildirasiz,"Авторизуясь, вы соглашаетесь с ","By logging in, you agree to the",Тизимга кириш орқали сиз розилик билдирасиз
auth_common_your_processing_policy,shaxsiy \nma‘lumotlarni qayta ishlash siyosati,политикой \nобработки персональных данных,personal data processing policy,шахсий \нмаълумотларни қайта ишлаш сиёсати
auth_confirm_again_sent_sms_your_phone,Yana yuboring,Отправить еще раз,Resend,Яна юборинг
auth_confirm_corfimation_code,Tasdiqlash kodi,КОД подтверждения,Verification Code,Тасдиқлаш коди
auth_confirm_sent_sms_your_phone,Biz sizga {phone} raqamiga kod bilan SMS yubordik,Мы отправили вам СМС с кодом на номер {phone},We sent you an SMS with a code to {phone},Биз сизга {пҳоне} рақамига код билан СМС юбордик
auth_person_policy,siyosat shaxsiy ma‘lumotlarni qayta ishlash,политикой nобработки персональных данных,personal data processing policy,сиёсат шахсий маълумотларни қайта ишлаш
auth_policy_agree,Tizimga kirish orqali siz rozilik bildirasiz,"Авторизуясь, вы соглашаетесь с ","By logging in, you agree to the",Тизимга кириш орқали сиз розилик билдирасиз
auth_price_police,Tizimga kirish orqali siz shaxsiy ma'lumotlarni saqlash va qayta ishlash shartlariga rozilik bildirasiz.,"lАвторизуясь, вы соглашаетесь с условиями хранения и обработки персональных данных.","By logging in, you agree to the terms of storage and processing of personal data.",Тизимга кириш орқали сиз шахсий маълумотларни сақлаш ва қайта ишлаш шартларига розилик билдирасиз.
auth_price_police_action,shaxsiy ma'lumotlarni saqlash va qayta ishlash shartlariga,условиями хранения и обработки персональных данных.,terms of storage and processing of personal data,шахсий маълумотларни сақлаш ва қайта ишлаш шартларига
auth_price_police_end,rozilik bildirasiz.,     ,you agree.,розилик билдирасиз.
auth_price_police_start,Tizimga kirish orqali siz,"Авторизуясь, вы соглашаетесь с","By logging in, you",Тизимга кириш орқали сиз
auth_recomment_action,Tizimga kirish,Войти в систему,Login,Тизимга кириш
auth_recomment_desc,E’lon berish uchun tizimga kirishingiz zarur,"Войдите в систему, чтобы опубликовать объявление",You need to log in to post an ad,Эълон бериш учун тизимга киришингиз зарур
auth_recomment_title,E’lon bermoqchimisiz?,Хотите опубликовать объявление?,Want to Post an Ad?,Эълон бермоқчимисиз?
auth_register_create_password,Kirish uchun parol yarating,Придумайте пароль для входа,Create a password to log in,Кириш учун парол яратинг
auth_register_password_contain_least_characters,Parol kamida 8 ta belgidan iborat bo‘lishi kerak.,Пароль должен содержать минимум 8 символов.,Password must be at least 8 characters long.,Парол камида 8 та белгидан иборат бўлиши керак.
auth_register_register,Roʻyxatdan oʻtish,Зарегистрироваться,Register,Рўйхатдан ўтиш
auth_register_repeat_password,Parolni qayta kiriting,Повторить пароль,Re-enter Password,Паролни қайта киритинг
auth_singin_title,Tizimga kirish,Войти,Login,Тизимга кириш
auth_start_confirm_with_face_id,FaceID bilan shaxsni tasdiqlash,Подтвердить личность с FaceID,Identity Verification with FaceID,ФаcеИД билан шахсни тасдиқлаш
auth_start_login_with_e_imzo,E-imzo bilan kirish,Войти с помощью ЭЦП,Sign in with E-signature,Э-имзо билан кириш
auth_start_login_with_e_imzo_error,Tizimda kirishda xatolik.Qaytadan urinib ko'ring,При входе произошла ошибка. Повторите попытку,Login error. Please try again,Тизимда киришда хатолик.Қайтадан уриниб кўринг
auth_start_login_with_eds,E-Imzo yordamida tizimga kiring,Войти с помощью ЭЦП,Sign in with E-imzo,Э-Имзо ёрдамида тизимга киринг
auth_start_login_with_face_id,FaceID bilan tizimga kiring,Войти с помощью FaceID,Sign in with FaceId,ФаcеИД билан тизимга киринг
auth_start_login_with_id_card,ID-Card bilan kirish,Войти с помощью ID-Card,Sign in with ID-Card,ИД-Cард билан кириш
auth_start_login_with_mobile_id,Mobile-ID bilan kirish,Войти с помощью Mobile-ID,Sign in with Mobile-ID,Мобиле-ИД билан кириш
auth_start_login_with_one_id,One-ID bilan kirish,Войти с помощью One-ID,Sign in with One-ID,Оне-ИД билан кириш
auth_start_singin,Tizimga kirish,Войти в систему,Login,Тизимга кириш
auth_verification_forget_password,Parolni unutdingizmi?,Забыли пароль?,Forgot your password?,Паролни унутдингизми?
billing_payment_type_credit,Kredit,Кредит,Credit,Кредит
billing_payment_type_credit_card,Kredit karta,Кредитная карта,Credit Card,Кредит карта
billing_payment_type_debit,Debit karta,Дебетовая карта,Debit Card,Дебит карта
billing_payment_type_hold,Komissiya,Комиссия,Commission,Комиссия
billing_payment_type_hold_cancelled,Bloklangan mablag‘ yechildi,Заблокированные средства были разблокированы.,Blocked amount released,Блокланган маблағ ечилди
billing_payment_type_hold_card,Kartadagi bloklangan mablag‘,Заблокированные средства на карте,Blocked amount on card,Картадаги блокланган маблағ
billing_payment_type_hold_card_cancelled,Kartadagi bloklangan mablag‘ yechildi,Заблокированная сумма на карте снята,Blocked amount on card released,Картадаги блокланган маблағ ечилди
billing_transaction_type_credit,Kredit,Кредит,Credit,Кредит
billing_transaction_type_credit_card,Kredit karta,Кредитная карта,Credit Card,Кредит карта
billing_transaction_type_debit,Kirim,Доход,Income,Кирим
billing_transaction_type_hold,Blokdagi mablag‘,Средства в блоке,Amount in Block,Блокдаги маблағ
billing_transaction_type_hold_cancelled,Bloklangan mablag‘ yechildi,Заблокированные средства сняты,Blocked amount released,Блокланган маблағ ечилди
billing_transaction_type_hold_card,Kartadagi bloklangan mablag‘,Заблокированные средства на карте,Blocked amount on card,Картадаги блокланган маблағ
billing_transaction_type_hold_card_cancelled,Kartadagi bloklangan mablag‘ yechildi,Заблокированные средства на снятии с карты,Blocked amount on card released,Картадаги блокланган маблағ ечилди
bottom_navigation_add_ad,Yaratish,Создать,Create,Яратиш
bottom_navigation_cart,Savat,Корзина,Cart,Сават
bottom_navigation_catalog,Kategoriyalar,Категории,Categories,Категориялар
bottom_navigation_favorite,Tanlanganlar,Избранные,Favorites,Танланганлар
bottom_navigation_home,Asosiy,Главная,Main,Асосий
bottom_navigation_more,Ko‘proq,Больше,More,Кўпроқ
bottom_navigation_profile,Profil,Профиль,Profile,Профил
card_add_title,Karta qo‘shish,Добавить карту,Add Card,Карта қўшиш
card_added_message,Karta muvaffaqiyatli qo‘shildi,Карта успешно добавлена,Card successfully added,Карта муваффақиятли қўшилди
card_deleted_message,Karta muvaffaqiyatli o‘chirildi,Карта успешно удалена,Card successfully deleted,Карта муваффақиятли ўчирилди
card_deleting_message,Kartani o‘chirishni hohlaysizmi?,Вы хотите удалить карту?,Do you want to delete the card?,Картани ўчиришни ҳоҳлайсизми?
cart_ad_remove_message,E’lonni savatdan o‘chirishni hohlaysizmi?,Хотите удалить объявление из корзины?,Do you want to remove the ad from cart?,Эълонни саватдан ўчиришни ҳоҳлайсизми?
cart_make_order,Rasmiylashtirish,Оформить,Checkout,Расмийлаштириш
cart_order_create,Rasmiylashtirish,Оформить,Checkout,Расмийлаштириш
category_ads_count,ta e‘lon,объявлений,ads,та эълон
close_title,Yopish,Закрыть,Close,Ёпиш
common_add,Qo‘shish,Добавить,Add,Қўшиш
common_all_price,Jami,Итого,Total,Жами
common_apartment,Kvartira,Квартира,Apartment,Квартира
common_apply,Qo‘llash,Применять,Apply,Қўллаш
common_bargain,Kelishiladi,Возможен торг,Negotiable,Келишилади
common_calculate_loading,Hisoblanmoqda...,Подсчет...,Calculating...,Ҳисобланмоқда...
common_cancel,Bekor qilish,Отменить,Cancel,Бекор қилиш
common_choose,Tanlash,Выбрать,Select,Танлаш
common_close,Yopish,Закрыть,Close,Ёпиш
common_comment,Izoh,Комментарий,Comment,Изоҳ
common_continue,Davom etish,Продолжить,Continue,Давом этиш
common_date,Sana,Дата,Date,Сана
common_delete,O‘chirish,Удалить,Delete,Ўчириш
common_details,Batafsil,Подробно,Details,Батафсил
common_district,Tuman,Район,District,Туман
common_doc_info,Pasport ma’lumotlari,Паспортные данные,Passport Information,Паспорт маълумотлари
common_doc_number,Pasport raqami,Номер паспорта,Passport Number,Паспорт рақами
common_doc_series,Pasport seriyasi,Паспорт серии,Passport Series,Паспорт серияси
common_download_again,Qayta yuklash,Перезагрузить,Reload,Қайта юклаш
common_edit,Tahrirlash,Редактировать,Edit,Таҳрирлаш
common_email,Elektron pochta,Эл. почта,Email,Электрон почта
common_empty_message,Hech qanday element topilmadi,Никакие элементы не найдены,No items found,Ҳеч қандай элемент топилмади
common_entrance,Kirish,Подъезд,Enter,Кириш
common_error_birth_date_not_valid,To‘g‘ri tug‘ilgan sanani kiriting,Введите правильную дату рождения,Enter correct date of birth,Тўғри туғилган санани киритинг
common_error_district_not_selected,Avval tumanni tanlang,Сначала выберите район,Select district first,Аввал туманни танланг
common_error_doc_number_not_valid,To‘g‘ri hujjat raqamini kiriting,Введите правильный номер документа,Enter correct document number,Тўғри ҳужжат рақамини киритинг
common_error_doc_series_not_valid,To‘g‘ri hujjat seriyasini kiriting,Введите правильную серию документов,Enter correct document series,Тўғри ҳужжат сериясини киритинг
common_error_email_not_valid,To‘g‘ri e-pochta manzilini kiriting,Введите действительный адрес эл. почты,Enter correct email address,Тўғри э-почта манзилини киритинг
common_error_field_is_required,Maydon to‘ldirilishi majburiy,Это поле обязательно,Field must be filled,Майдон тўлдирилиши мажбурий
common_error_message,Xatolik yuz berdi,Произошла ошибка,An error occurred,Хатолик юз берди
common_error_password,To‘g‘ri parolni kiriting,Введите правильный пароль,Enter correct password,Тўғри паролни киритинг
common_error_password_confirm,Parollar mos kelmadi,Пароли не совпадают,Passwords do not match,Пароллар мос келмади
common_error_phone_not_valid,To‘g‘ri telefon raqamini kiriting,Введите действительный номер телефона,Enter correct phone number,Тўғри телефон рақамини киритинг
common_error_price_not_valid,To‘g‘ri narx kiriting,Введите действительную цену,Enter correct price,Тўғри нарх киритинг
common_error_region_not_selected,Avval viloyatni tanlang,Сначала выберите регион,Select region first,Аввал вилоятни танланг
common_filter,Filtr,Фильтр,Filter,Фильтр
common_filter_reset,Tozalash,Сброс,Clear,Тозалаш
common_floor,Qavat,Этаж,Floor,Қават
common_gender,Jins,Пол,Gender,Жинс
common_gender_female,Ayol,Жен.,Female,Аёл
common_gender_male,Erkak,Муж.,Male,Эркак
common_home_number,Uy raqami,Номер дома,House Number,Уй рақами
common_house,Uy,Дом,House,Уй
common_installment,Bo‘lib to‘lash,Оплата в рассрочку,Installment,Бўлиб тўлаш
common_main,Asosiy,Основной,Main,Асосий
common_main_photo,Asosiy rasm,Главное фото,Main Image,Асосий расм
common_make_main_photo,Asosiy qilish,Сделать главным,Make Primary,Асосий қилиш
common_month,oy,месяц,monthly payment,ой
common_more,Ko‘proq,Подробнее,More,Кўпроқ
common_more_with_count,Yana {count} ta,Ещё {count},{count} more,Яна {cоунт} та
common_neighborhood,Mahalla,Махалля,Neighborhood,Маҳалла
common_no,Yo‘q,Нет,No,Йўқ
common_open_main,Asosiy  oynaga,На главную,To Main Screen,Асосий  ойнага
common_phone_number,Telefon raqami,Номер телефона,Phone Number,Телефон рақами
common_pinfl,JShShIR,ПИНФЛ,PINFL,ЖШШИР
common_pinfl_hint,14 belgi,14 символов,14 characters,14 белги
common_price,Narxi,Цена,Price,Нархи
common_price_from,{price}dan,От {price},from {price},{приcе}дан
common_price_to,{price}gacha,До {price},to {price},{приcе}гача
common_quantity,Soni,Количество,Quantity,Сони
common_refresh,Yangilash,Обновить,Update,Янгилаш
common_region,Viloyat,Регион,Region,Вилоят
common_reload,Qayta yuklash,Перезагрузить,Reload,Қайта юклаш
common_retake_photo,Qayta suratga olish,Переснять фото,Retake Photo,Қайта суратга олиш
common_retry,Qayta urinish,Повторить попытку,Retry,Қайта уриниш
common_save,Saqlash,Сохранить,Save,Сақлаш
common_save_changes,O‘zgarishlarni saqlash,Сохранить изменения,Save Changes,Ўзгаришларни сақлаш
common_seller_reliable,Ishonchli sotuvchi,Надежный продавец,Trusted Seller,Ишончли сотувчи
common_seller_stable,Oddiy sotuvchi,Обычный продавец,Regular Seller,Оддий сотувчи
common_seller_unreliable,Ishonchsiz sotuvchi,Ненадежный продавец,Untrusted Seller,Ишончсиз сотувчи
common_send,Yuborish,Отправить,Send,Юбориш
common_show_less,Kamroq ko‘rsatish,Показать меньше,Show Less,Камроқ кўрсатиш
common_show_more,Ko‘proq ko‘rsatish,Показать больше,Show More,Кўпроқ кўрсатиш
common_skip,O‘tkazib yuborish,Пропустить,Skip,Ўтказиб юбориш
common_street,Ko'cha,Улица,Street,Кўча
common_take_photo,Rasmga olish,Снять фото ,Take Photo,Расмга олиш
common_total_cost,Umumiy narx,Общая стоимость,Total Price,Умумий нарх
common_unfind,topilmadi,не найдено,not found,топилмади
common_yes,Ha,Да,Yes,Ҳа
create_request_title,So‘rov yaratish,Создать запрос,Create Request,Сўров яратиш
currency_euro,yevro,евро,euro,евро
currency_ruble,rubl,рубль,ruble,рубл
currency_usd,dollar,доллар,dollar,доллар
currency_uzs,so‘m,сум,sum,сўм
deposit_refill_success_message,To‘lov muvaffaqiyatli qabul qilindi,Платеж успешно получен,Payment successfully accepted,Тўлов муваффақиятли қабул қилинди
deposit_refill_title,Depozitni to‘ldirish,Пополнение депозита,Top Up Deposit,Депозитни тўлдириш
edit_title,Tahrirlash,Редактировать,Edit,Таҳрирлаш
face_id_check,Tekshirish,Проверить,Verify,Текшириш
face_id_check_image_before_sending,"Iltimos, fotosuratingizni yuborishdan oldin tekshiring","Пожалуйста, проверьте фотографию перед отправкой",Please verify your photo before sending,"Илтимос, фотосуратингизни юборишдан олдин текширинг"
face_id_doc_not_matched,Tug‘ilgan sana va pasport seriya-raqamlari muvofiq emas,Дата рождения и серийный номер паспорта не совпадают,Date of birth and passport series-number do not match,Туғилган сана ва паспорт серия-рақамлари мувофиқ эмас
face_id_error_invalid_fields,Ma'lumotlar to‘gri ekanligiga ishonch hosil qiling.,"Убедитесь, что информация верна.",Make sure the data is correct.,Маълумотлар тўгри эканлигига ишонч ҳосил қилинг.
face_id_identity_not_verified,Sizning shaxsingiz tasdiqlanmadi!,Ваша личность не подтверждена!,Your identity was not verified!,Сизнинг шахсингиз тасдиқланмади!
face_id_indentity_desc,Yuzning barcha qismlari kamera maydoniga to‘g‘ri kelishi kerak,Все части лица должны вписаться в область камеры,All parts of the face must fit in the camera field,Юзнинг барча қисмлари камера майдонига тўғри келиши керак
face_id_indentity_info,Kameraga qarang va suratga olish tugmasini bosing,Смотрите на камеру и нажмите снять фото,Look at the camera and press the capture button,Камерага қаранг ва суратга олиш тугмасини босинг
face_id_intro_camera_position,Kamerani yuzingiz to‘g‘risida turganligiga,Камера расположена строго перед лицом,Make sure the camera is facing your face correctly,Камерани юзингиз тўғрисида турганлигига
